id,id_municipio,id_estado,nome,localizacao,rede,coordenadas_latitude,coordenadas_longitude,has_inf,has_fund_ai,has_fund_af,has_fund_em
35808489,3525904,35,COLEGIO INTEGRACAO JUNDIAI,Urbana,Privada,-23.178001,-46.910789,true,true,true,true
35808573,3525904,35,BOM SABER UNIDADE I ESCOLA,Urbana,Privada,-23.161443,-46.918243,false,true,true,false
35808623,3543402,35,PALAS ATENA COLEGIO,Urbana,Privada,-21.223960,-47.763570,false,true,false,false
35809445,3525904,35,CRIARTE COLEGIO,Urbana,Privada,-23.207555,-46.893465,true,true,true,true
35809457,3525904,35,SANTA FELICIDADE COLEGIO,Urbana,Privada,-23.178345,-46.887617,true,true,true,true
35809913,3543402,35,VIANNA COLEGIO,Urbana,Privada,-21.176636,-47.794140,false,false,true,true
35810915,3516309,35,A F SILVA EDUCACAO,Urbana,Privada,-23.281000,-46.745127,true,true,false,false
35900072,3543402,35,IRENE DIAS RIBEIRO PROFESSORA,Urbana,Estadual,-21.124035,-47.812545,false,false,true,true
35900734,3543402,35,BENEDITO MACIEL ARANTES PROFESSOR,Urbana,Estadual,-21.107712,-47.802975,false,true,false,false
35900746,3543402,35,ORLANDO JURCA DEPUTADO,Urbana,Estadual,-21.113134,-47.798659,false,true,false,false
35900758,3543402,35,JOAO PALMA GUIAO DOUTOR,Urbana,Estadual,-21.133295,-47.846337,false,false,true,true
35900761,3543402,35,HELIO LOURENCO DE OLIVEIRA PROFESSOR,Urbana,Estadual,-21.190799,-47.841442,false,false,true,false
35900771,3543402,35,MIGUEL JORGE,Urbana,Estadual,-21.177987,-47.775475,false,true,true,true
35903371,3506102,35,ORLANDO FRANCA DE CARVALHO PROFESSOR,Urbana,Estadual,-20.944206,-48.506682,false,false,true,true
35903462,3543402,35,GETULIO VARGAS DOUTOR,Urbana,Estadual,-21.113779,-47.787358,false,true,false,false
35903474,3543402,35,JOSE BOMPANI VEREADOR,Urbana,Estadual,-21.118167,-47.809666,false,true,true,false
